States/UTs,Total No. of artisans Identified
A & N Island,1777
Andhra Pradesh,54584
Arunachal Pradesh,6590
Assam,70173
Bihar,115070
Chhattisgarh,12908
Delhi,14865
Goa,9482
Gujarat,114207
Haryana,30746
Himachal Pradesh,12531
Jammu & Kashmir,91143
Jharkhand,36335
Karnataka,24710
Kerala,38478
Madhya Pradesh,83712
Maharashtra,46336
Manipur,69418
Meghalaya,2716
Mizoram,3260
Nagaland,5264
Odisha,110825
Puducherry,13019
Punjab,27584
Rajasthan,97047
Sikkim,2312
Tamil Nadu,35692
Telangana,33729
Tripura,10507
Uttar Pradesh,870316
Uttarakhand,31814
West Bengal,230990
Total,2308140
