Sl.No,Name of State/UT,Nos. of Monuments
1,Andhra Pradesh,129
2,Arunachal Pradesh,3
3,Assam,55
4,Bihar,70
5,Chhattisgarh,47
6,Daman & Diu (UT),12
7,Goa,21
8,Gujarat,203
9,Haryana,91
10,Himachal Pradesh,40
11,Jammu & Kashmir,69
12,Jharkhand,13
13,Karnataka,506
14,Kerala,28
15,Madhya Pradesh,292
16,Maharashtra,285
17,Manipur,1
18,Meghalaya,8
19,Mizoram,1
20,Nagaland,4
21,N.C.T. Delhi,174
22,Odisha,79
23,Puducherry (U.T.),7
24,Punjab,33
25,Rajasthan,162
26,Sikkim,3
27,Telangana,8
28,Tamil Nadu,413
29,Tripura,8
30,Uttar Pradesh,743
31,Uttarakhand,42
32,West Bengal,136
Total,Total,3686
